"Cluster","Host","HostProcTotal","HostCoreTotal","HostMhzTotal","HostMemTotal","Name","OSName","Power","MemoryGB","NumCPU","NumDisks","DisksGB"
"Bangkok Cluster","wfwbavm03.wfw.com","2","12","2394","192","WFWBACCOCR01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","8","3","267"
"Bangkok Cluster","wfwbavm03.wfw.com","2","12","2394","192","WFWBADMIDOL01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","12","6","5","375.01171875"
"Bangkok Cluster","wfwbavm03.wfw.com","2","12","2394","192","WFWBANS1 - Leave off","Microsoft Windows Server 2003 Standard (32-bit)","PoweredOff","2","2","2","21"
"Bangkok Cluster","wfwbavm03.wfw.com","2","12","2394","192","WFWBAPS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"Bangkok Cluster","wfwbavm03.wfw.com","2","12","2394","192","WFWBASCCMDP01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","2","3","318"
"Bangkok Cluster","wfwbavm03.wfw.com","2","12","2394","192","WFWBASQ1","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","2","4","135"
"Bangkok Cluster","wfwbavm03.wfw.com","2","12","2394","192","WFWBATELELOG01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"Bangkok Cluster","wfwbavm03.wfw.com","2","12","2394","192","WFWBAVRNSCL01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","205"
"Bangkok Cluster","wfwbavm04.wfw.com","2","12","2394","192","WFWBAAPP01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","2","3","165"
"Bangkok Cluster","wfwbavm04.wfw.com","2","12","2394","192","WFWBAAPP02","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","12","4","3","315.001953125"
"Bangkok Cluster","wfwbavm04.wfw.com","2","12","2394","192","WFWBADC01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","2","2","55"
"Bangkok Cluster","wfwbavm04.wfw.com","2","12","2394","192","WFWBADD1","Microsoft Windows Server 2003 Standard (32-bit)","PoweredOn","0.75","2","3","31"
"Bangkok Cluster","wfwbavm04.wfw.com","2","12","2394","192","WFWBADMS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","2","2","60"
