"Name","PowerState","NumCpu","MemoryGB","DataStore"
"WFWDC2SQL03","PoweredOn","4","8","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2USXMGMT01","PoweredOn","2","6","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2DDC01","PoweredOn","2","4","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2DDC02","PoweredOn","2","4","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2NETS02","PoweredOn","2","4","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2SF01","PoweredOn","2","4","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2SF02","PoweredOn","2","4","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2PVS01","PoweredOn","2","32","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2SQLEXPR01","PoweredOn","2","4","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2PVS02","PoweredOn","2","32","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2NETS01","PoweredOn","2","4","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2SHARF01","PoweredOn","2","4","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2OWA01","PoweredOn","4","16","F2_NFS_DC2_VM_D"
"OLD_WFWDC2LYNC01","PoweredOff","2","4","F2_NFS_DC2_VM_D"
"WFWDC2WCS02","PoweredOn","1","4","F2_NFS_DC2_VM_D"
"WFWDC2CT01","PoweredOn","1","4","F2_NFS_DC2_VM_D"
"WFWDC2BES01","PoweredOn","2","12","F2_NFS_DC2_VM_D"
"WFWDC2LYNC03_OLD","PoweredOff","4","16","F2_NFS_DC2_VM_D"
"WFWDC2BES02","PoweredOn","2","12","F2_NFS_DC2_VM_D"
"WFWDC2IP01","PoweredOn","2","8","F2_NFS_DC2_VM_D"
"WFWDC2LYNC02_OLD","PoweredOff","4","16","F2_NFS_DC2_VM_D"
"WFWDC2EDGE01","PoweredOn","4","16","F2_NFS_DC2_VM_D"
"WFWDC2EXCH02","PoweredOn","4","48","F2_NFS_DC2_VM_D"
"WFWDC2UAG01","PoweredOn","1","4","F2_NFS_DC2_VM_D"
"WFWDC2SPW01","PoweredOn","4","12","F2_NFS_DC2_VM_D"
"WFWDC2DPX01","PoweredOn","2","4","F2_NFS_DC2_VM_D"
"WFWDC2DM01","PoweredOn","1","4","F2_NFS_DC2_VM_D"
"WFWDC2APP01","PoweredOn","1","4","F2_NFS_DC2_VM_D"
"WFWDC2DMIX02","PoweredOn","12","24","F2_NFS_DC2_VM_D"
"WFWDC2TRENDMG01","PoweredOn","1","4","F2_NFS_DC2_VM_D"
"WFWDC2DMIX01","PoweredOn","8","15.625","F2_NFS_DC2_VM_D"
"WFWDC2SQL02","PoweredOn","4","20","F2_NFS_DC2_VM_D"
"WFWDC2LYNC01_OLD","PoweredOff","4","16","F2_NFS_DC2_VM_D"
"WFWDC2EDGE01_OLD","PoweredOff","4","16","F2_NFS_DC2_VM_D"
"WFWDC2DC01","PoweredOn","2","4","F2_NFS_DC2_VM_D"
"WFWDC2NS02","PoweredOn","4","8","F2_NFS_DC2_VM_D"
"WFWDC2SPA01","PoweredOn","8","16","F2_NFS_DC2_VM_D"
"WFWDC2EXCH01","PoweredOn","4","48","F2_NFS_DC2_VM_D"
"WFWDC2NS01","PoweredOn","4","8","F2_NFS_DC2_VM_D"
"WFWDC2BB01","PoweredOn","2","8","F2_NFS_DC2_VM_D"
"WFWDC2DAVPN02","PoweredOn","4","4","F2_NFS_DC2_VM_D"
"WFWDC2DMIX03","PoweredOff","12","24","F2_NFS_DC2_VM_D"
"WFWDC2LYNC01","PoweredOn","4","16","F2_NFS_DC2_VM_D"
"WFWDC2SPWFM01","PoweredOn","2","4","F2_NFS_DC2_VM_D"
