"Name","PowerState","NumCpu","MemoryGB","DataStore"
"WFWDC3EXCH02","PoweredOn","4","48","RDM_MAPPINGS_DC3"
"WFWDC3EXCH01","PoweredOn","4","48","RDM_MAPPINGS_DC3"
"WFWDC3PRX01","PoweredOn","1","4","NFS_DC3_VM_E"
"WFWDC3PIPE01","PoweredOn","1","4","NFS_DC3_VM_E"
"WFWDC3LYNC01","PoweredOn","4","16","NFS_DC3_VM_E"
"WFWDC3LYNC01_OLD","PoweredOff","2","4","NFS_DC3_VM_E"
"WFWDC3EXCH02","PoweredOn","4","48","NFS_DC3_VM_E"
"WFWDC3TRENDMG01","PoweredOn","1","4","NFS_DC3_VM_E"
"WFWDC3EXCH01","PoweredOn","4","48","NFS_DC3_VM_E"
"WFWDC3WCS01","PoweredOn","2","4","NFS_DC3_VM_E"
"WFWDC3SQL01","PoweredOn","2","8","NFS_DC3_VM_E"
"WFWDC3EDGE01","PoweredOn","4","16","NFS_DC3_VM_E"
"WFWDC3IP01","PoweredOn","1","4","NFS_DC3_VM_E"
"WFWDC3APP01","PoweredOn","1","4","NFS_DC3_VM_E"
"WFWDC3LYNC01_OLD","PoweredOff","2","4","NFS_DC3_VM_D"
"WFWDC3UAG03","PoweredOn","1","4","NFS_DC3_VM_D"
"WFWDC3BB02","PoweredOn","1","4","NFS_DC3_VM_D"
"WFWDC3EXCH02","PoweredOn","4","48","NFS_DC3_VM_D"
"WFWDC3BB01","PoweredOn","2","8","NFS_DC3_VM_D"
"WFWDC3LYNC01","PoweredOn","4","16","NFS_DC3_VM_D"
"WFWDC3EXCH01","PoweredOn","4","48","NFS_DC3_VM_D"
"WFWDC3EDGE01","PoweredOn","4","16","NFS_DC3_VM_D"
"WFWDC3IP01","PoweredOn","1","4","NFS_DC3_VM_D"
"WFWDC3VPN01","PoweredOn","1","4","NFS_DC3_VM_D"
"WFWDC3DC01","PoweredOn","2","8","NFS_DC3_VM_D"
"WFWDC3UAG02","PoweredOff","1","4","NFS_DC3_VM_D"
"WFWDC3NS01","PoweredOn","4","8","NFS_DC3_VM_D"
"WFWDC3TRENDMG01","PoweredOn","1","4","NFS_DC3_VM_D"
"WFWDC3DA02","PoweredOn","1","4","NFS_DC3_VM_D"
"WFWDC3WEB01","PoweredOn","1","4","NFS_DC3_VM_D"
"WFWDC3APP01","PoweredOn","1","4","NFS_DC3_VM_D"
"WFWDC3PRX01","PoweredOn","1","4","NFS_DC3_VM_D"
"WFWDC3OWA01","PoweredOn","1","4","NFS_DC3_VM_D"
"WFWDC3BES01","PoweredOn","2","12","NFS_DC3_VM_D"
"WFWDC3PIPE01","PoweredOn","1","4","NFS_DC3_VM_D"
"WFWDC3WCS01","PoweredOn","2","4","NFS_DC3_VM_D"
"WFWDC3DA01","PoweredOn","1","4","NFS_DC3_VM_D"
"WFWDC3SQL01","PoweredOn","2","8","NFS_DC3_VM_D"
"WFWDC3WCS02","PoweredOn","2","4","NFS_DC3_VM_D"
"WFWDC3NS02","PoweredOn","4","8","NFS_DC3_VM_D"
"WFWDC3SHARF01","PoweredOn","2","4","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3DDC01","PoweredOn","2","4","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3NETS02","PoweredOn","2","4","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3NETS01","PoweredOn","2","4","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3USXMGMT01","PoweredOn","2","6","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3SHARF02","PoweredOn","2","4","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3SQL03","PoweredOn","4","8","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3SQL02","PoweredOn","4","8","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3SQLEXPR01","PoweredOn","2","4","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3PVS02","PoweredOn","2","32","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3PVS01","PoweredOn","2","32","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3SF02","PoweredOn","2","4","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3SF01","PoweredOn","2","4","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3DDC02","PoweredOn","2","4","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3DAVPN01","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3PIPE01","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3IP01","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3RAS01","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3HTTPD01","PoweredOn","2","2","NFS_DC3_VM_C"
"WFWDC3NS01","PoweredOn","4","8","NFS_DC3_VM_C"
"WFWDC3LYNC01","PoweredOn","4","16","NFS_DC3_VM_C"
"WFWDC3BB01","PoweredOn","2","8","NFS_DC3_VM_C"
"WFWDC2QU01","PoweredOn","4","12","NFS_DC3_VM_C"
"WFWDC3LYNC01_OLD","PoweredOff","2","4","NFS_DC3_VM_C"
"WFWDC3EXCH02","PoweredOn","4","48","NFS_DC3_VM_C"
"WFWLODC1QU2","PoweredOn","4","6","NFS_DC3_VM_C"
"WFWDC3EDGE01","PoweredOn","4","16","NFS_DC3_VM_C"
"WFWDC3EXCH01","PoweredOn","4","48","NFS_DC3_VM_C"
"WFWLODC1QU1","PoweredOn","4","4","NFS_DC3_VM_C"
"WFWDC3PRX01","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3WEB01","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3DC01","PoweredOn","2","8","NFS_DC3_VM_C"
"WFWDC3UAG03","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3KEMPRP01","PoweredOn","2","2","NFS_DC3_VM_C"
"WFWDC3OWA01","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3DA01","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3BES02","PoweredOff","1","4","NFS_DC3_VM_C"
"WFWDC3TRENDMG01","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3DA02","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3UAG02","PoweredOff","1","4","NFS_DC3_VM_C"
"WFWDC3NS02","PoweredOn","4","8","NFS_DC3_VM_C"
"WFWDC3VPN01","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3WCS01","PoweredOn","2","4","NFS_DC3_VM_C"
"WFWDC3NE01","PoweredOn","1","1","NFS_DC3_VM_C"
"WFWDC3SQL01","PoweredOn","2","8","NFS_DC3_VM_C"
"WFWDC3DAVPN02","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3BES01","PoweredOn","2","12","NFS_DC3_VM_C"
"WFWDC3WCS02","PoweredOn","2","4","NFS_DC3_VM_C"
"WFWDC3APP01","PoweredOn","1","4","NFS_DC3_VM_C"
"WFWDC3BB02","PoweredOn","1","4","NFS_DC3_VM_C"
