"Name","PowerState","NumCpu","MemoryGB","DataStore"
"WFWDC3XD11","PoweredOn","2","4","WFWDC3USX01"
"WFWDC3XD12","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD13","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD14","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD15","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3SH03","PoweredOff","4","16","WFWDC3USX01"
"WFWDC3SH04","PoweredOff","4","16","WFWDC3USX01"
"WFWDC3SH05","PoweredOff","4","16","WFWDC3USX01"
"WFWDC3XD16","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD18","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD17","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD19","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD06","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD05","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3SH02","PoweredOff","4","16","WFWDC3USX01"
"WFWDC3XD20","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD04","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3SH01","PoweredOff","4","16","WFWDC3USX01"
"WFWDC3XD07","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD03","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD08","PoweredOn","2","4","WFWDC3USX01"
"WFWDC3XD02","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD09","PoweredOn","2","4","WFWDC3USX01"
"WFWDC3XD01","PoweredOff","2","4","WFWDC3USX01"
"WFWDC3XD10","PoweredOn","2","4","WFWDC3USX01"
"WFWDC3USX01","PoweredOn","4","60","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3USX02","PoweredOn","4","60","NFS_DC3_TINTRI_01_CITRIX"
"WFWDC3XD35","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD36","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3SH08","PoweredOff","4","16","WFWDC3USX02"
"WFWDC3XD26","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3SH10","PoweredOff","4","16","WFWDC3USX02"
"WFWDC3SH06","PoweredOff","4","16","WFWDC3USX02"
"WFWDC3XD25","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3SH07","PoweredOff","4","16","WFWDC3USX02"
"WFWDC3XD39","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD40","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD37","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD32","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD38","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD31","PoweredOn","2","4","WFWDC3USX02"
"WFWDC3XD34","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD33","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD28","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD27","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD30","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD21","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD29","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD22","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD23","PoweredOff","2","4","WFWDC3USX02"
"WFWDC3XD24","PoweredOn","2","4","WFWDC3USX02"
