"Name","PowerState","NumCpu","MemoryGB","DataStore"
"WFWDC2XDMASTER","PoweredOff","2","4","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2USX01","PoweredOn","4","60","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2SHMASTER","PoweredOff","4","16","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2USX02","PoweredOn","4","60","NFS_DC2_TINTRI_01_CITRIX"
"WFWDC2XD07","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD08","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD05","PoweredOn","2","4","WFWDC2USX01"
"WFWDC2XD06","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD25","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD26","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD27","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD28","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD29","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD30","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2SH02","PoweredOff","4","16","WFWDC2USX01"
"WFWDC2XD18","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD17","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2SH05","PoweredOff","4","16","WFWDC2USX01"
"WFWDC2XD16","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2SH06","PoweredOff","4","16","WFWDC2USX01"
"WFWDC2XD15","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2SH03","PoweredOff","4","16","WFWDC2USX01"
"WFWDC2SH04","PoweredOff","4","16","WFWDC2USX01"
"WFWDC2XD04","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD03","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD13","PoweredOn","2","4","WFWDC2USX01"
"WFWDC2SH01","PoweredOff","4","16","WFWDC2USX01"
"WFWDC2XD14","PoweredOn","2","4","WFWDC2USX01"
"WFWDC2XD02","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD11","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD01","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD12","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD09","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD10","PoweredOn","2","4","WFWDC2USX01"
"WFWDC2XD24","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD23","PoweredOn","2","4","WFWDC2USX01"
"WFWDC2XD22","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD21","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD20","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD19","PoweredOff","2","4","WFWDC2USX01"
"WFWDC2XD57","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD42","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD58","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD55","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD56","PoweredOn","2","4","WFWDC2USX02"
"WFWDC2XD48","PoweredOn","2","4","WFWDC2USX02"
"WFWDC2XD47","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD46","PoweredOn","2","4","WFWDC2USX02"
"WFWDC2XD45","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD33","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD35","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD34","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD31","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD36","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD32","PoweredOn","2","4","WFWDC2USX02"
"WFWDC2XD37","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD38","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2SH12","PoweredOff","4","16","WFWDC2USX02"
"WFWDC2XD59","PoweredOn","2","4","WFWDC2USX02"
"WFWDC2XD60","PoweredOn","2","4","WFWDC2USX02"
"WFWDC2XD54","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD53","PoweredOn","2","4","WFWDC2USX02"
"WFWDC2XD52","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD51","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2SH09","PoweredOff","4","16","WFWDC2USX02"
"WFWDC2XD50","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2SH10","PoweredOff","4","16","WFWDC2USX02"
"WFWDC2XD49","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2SH07","PoweredOff","4","16","WFWDC2USX02"
"WFWDC2SH08","PoweredOff","4","16","WFWDC2USX02"
"WFWDC2SH11","PoweredOff","4","16","WFWDC2USX02"
"WFWDC2XD43","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD44","PoweredOn","2","4","WFWDC2USX02"
"WFWDC2XD39","PoweredOn","2","4","WFWDC2USX02"
"WFWDC2XD40","PoweredOff","2","4","WFWDC2USX02"
"WFWDC2XD41","PoweredOff","2","4","WFWDC2USX02"
