"Cluster","Host","HostNumCPU","HostMemUsage","HostMemTotal","Name","OSName","Power","MemoryGB","NumCPU","NumDisks","DisksGB"
"Bangkok Cluster","wfwbavm04.wfw.com","12","32","192","WFWBAAPP01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","2","3","165"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBAAPP02","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","12","4","3","280.001953125"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBACCOCR01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","2","67"
"Bangkok Cluster","wfwbavm04.wfw.com","12","32","192","WFWBADC01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","2","2","55"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBADD1","Microsoft Windows Server 2003 Standard (32-bit)","PoweredOn","0.75","2","3","31"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBADM01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","2","2","45"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBADM07","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","2","2","45"
"Bangkok Cluster","wfwbavm04.wfw.com","12","32","192","WFWBADM4_OFF","Microsoft Windows Server 2003 Standard (32-bit)","PoweredOff","0.75","2","1","16"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBADMIDOL01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","12","6","5","375.01171875"
"Bangkok Cluster","wfwbavm04.wfw.com","12","32","192","WFWBADMS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","2","2","60"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBADMSPV01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","255"
"Bangkok Cluster","wfwbavm04.wfw.com","12","32","192","WFWBANE1 - Leave off","Other Linux (32-bit)","PoweredOff","1","1","1","40"
"Bangkok Cluster","wfwbavm04.wfw.com","12","32","192","WFWBANS1 - Leave off","Microsoft Windows Server 2003 Standard (32-bit)","PoweredOff","2","2","2","21"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBAPIPE01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","4","3","85"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBAPRX01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","95"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBARD01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","2","2","85"
"Bangkok Cluster","wfwbavm04.wfw.com","12","32","192","WFWBARD02","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","2","2","65"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBASQ1","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","2","4","125"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBATRENDMG01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","2","3","85"
"Bangkok Cluster","wfwbavm03.wfw.com","12","98","192","WFWBAVRNSCL01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","205"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","USX Manager","Ubuntu Linux (64-bit)","PoweredOn","7","2","4","43"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1A365","Microsoft Windows Server 2012 (64-bit)","PoweredOn","20","8","3","165"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1APP01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","4","3","270"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1AUDIT01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","165"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1BB01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","6","2","2","75"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1BB02","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","1","2","55"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1BB03","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","2","2","55"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1BEMS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1BES01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","20","2","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1BES02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","20","2","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1BESPRX01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","2","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1BH01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1BH02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1BHGW01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1CA03","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1CC01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","2","3","135"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1CCOCR01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","1101"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1CINS01","FreeBSD (64-bit)","PoweredOn","3","2","1","120"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1CLUOCM01","Other 2.6.x Linux (64-bit)","PoweredOn","12","4","4","152"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1DA01_OFF","Microsoft Windows Server 2012 (64-bit)","PoweredOff","4","4","2","45"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1DAS01_OFF","Microsoft Windows Server 2012 (64-bit)","PoweredOff","4","1","2","45"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1DAVPN01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","4","2","45"
